Review,Summary,Sentiment
fair,boundari materi good,0.0
bad qualiti,net good cricket,0.0
useless product,low qualiti product,0.0
could way better,good,0.0
horribl,worth purchas,0.0
wast money,poor qualiti,0.0
okay,weak good suitabl long time,0.0
wast money,pakegik bad,0.0
unsatisfactori,differ size ask l size 1 l xxl size also differ colour seller make fool dont buy seller wast money,0.0
bad qualiti,fit mark qualiti poor product,0.0
useless product,disast,0.0
slightli disappoint,first wash soak cold water without use deterg wash soap dri shade elast gone stitch line start come,0.0
terribl product,bad product 5 day last,0.0
horribl,qualiti good,0.0
could way better,bad,0.0
bad qualiti,worth,0.0
terribl product,poor qualiti,0.0
bad qualiti,cloth qualiti poor,0.0
useless product,poor,0.0
recommend,materi goodstitch good,0.0
worthless,comfort,0.0
nice,fabric comfort,0.0
worst experi ever,good qualiti,0.0
unsatisfactori,good qualiti,0.0
poor,good,0.0
good,bought 2 piec size l fit good one,0.0
good,good bad,0.0
good,cheep qualiti,0.0
moder,bad qualiti,0.0
okay,expect,0.0
utterli disappoint,size perfect bought larg actual small size total wast money,0.0
n't wast money,good,0.0
hate,qualiti issu,0.0
horribl,good product support,0.0
terribl product,poor qualiti product materi stitch,0.0
horribl,product good,0.0
bad qualiti,fit comfertbl,0.0
recommend,bad,0.0
utterli disappoint,bad qualiti cotton,0.0
unsatisfactori,worst qualiti,0.0
meet expect,bad expir,0.0
good,bad product,0.0
decent product,pure cotton,0.0
horribl,second purchas sportsoul worst qualiti support band,0.0
hate,torn first use,0.0
slightli disappoint,donot buy,0.0
worthless,bad qualiti,0.0
horribl,bad cloth,0.0
poor,bad qualiti product,0.0
poor,wast product,0.0
fair,good expect,0.0
recommend,one week loos,0.0
could way better,bad qualiti,0.0
moder,good product stitch got loos use,0.0
unsatisfactori,bad qualiti product,0.0
terribl product,qualiti product poor,0.0
horribl,satisfi faltu itom,0.0
hate,dirti loss,0.0
worthless,worest prodact,0.0
decent product,fit comfert long last,0.0
horribl,poor,0.0
okay,lastic comfort,0.0
bad qualiti,product good,0.0
slightli disappoint,loos elast,0.0
utterli disappoint,wast money,0.0
nice,lastic tight,0.0
worthless,qualiti bad,0.0
terribl product,worst,0.0
horribl,bad product,0.0
slightli disappoint,stich good,0.0
job,product low qualiti,0.0
poor,worst product wast money dont buy flipkart encourag kind product,0.0
meet expect,good,0.0
worthless,fit,0.0
terribl product,colour bad,0.0
absolut rubbish,bad,0.0
nice,worth,0.0
recommend,west moni,0.0
good,thick,0.0
fair,dont like,0.0
worthless,worst product,0.0
n't wast money,fail,0.0
could way better,low qualiti,0.0
worthless,poor qualiti,0.0
terribl product,poor qualiti,0.0
worthless,bad,0.0
okay,size issu thisqual ok good,0.0
horribl,baid product,0.0
worst experi ever,materi poor,0.0
worthless,wast materi cloth good,0.0
highli recommend,nice stiff cloth cloth materi degrad,0.0
terribl product,worst,0.0
slightli disappoint,qualiti poor,0.0
moder,qualiti good,0.0
wast money,bad qualiti,0.0
poor,bad qualiti realli uncomfort annoyingnot use,0.0
utterli disappoint,bad product,0.0
meet expect,weak elast,0.0
recommend,worst qualiti stitch got remov within 2 day tight need weight lift,0.0
recommend,prise highqual poor dont like,0.0
expect better product,bad,0.0
useless product,waist elast good inner pocket elast pinch skin,0.0
worthless,poor thing,0.0
recommend,amount time vest,0.0
absolut rubbish,vri bd qlti,0.0
good,costli,0.0
good,bad coton,0.0
poor,vaest podect,0.0
horribl,much comfort n heavi nt buy,0.0
worthless,qualiti low stitch bad,0.0
meet expect,poor faibar,0.0
absolut rubbish,bad,0.0
n't wast money,bad product use full,0.0
terribl product,worst,0.0
bad qualiti,qualiti good,0.0
good,good,0.0
could way better,good,0.0
unsatisfactori,bad,0.0
wast money,extrem poor productit even poor normal underwear iit support part loss,0.0
hate,poor qualiti,0.0
absolut rubbish,torn week,0.0
horribl,poor qualiti size never order,0.0
worthless,good,0.0
recommend,poor qualiti,0.0
wonder,good,0.0
okay,nice product fit bit problem,0.0
decent product,item good febrik veeri good thred poor use work thred broken,0.0
useless product,satisfi,0.0
n't wast money,good,0.0
fair,bad qualiti,0.0
poor,bad prodect,0.0
could way better,strong,0.0
bad qualiti,bad,0.0
worth money,bad product,0.0
good,ok good,0.0
expect better product,big siz,0.0
moder,fit lose,0.0
wast money,good,0.0
could way better,soft,0.0
could way better,good qualiti,0.0
utterli disappoint,bad,0.0
worst experi ever,wast money,0.0
utterli disappoint,good,0.0
expect better product,bad item,0.0
horribl,worst qualiti,0.0
poor,poor qualiti even 6 wash black colour keep run useless product,0.0
n't wast money,uncomfort wrost product,0.0
expect better product,bad qualiti,0.0
good,much impress per price would perfectli recommend,0.0
wast money,low qualiti,0.0
utterli disappoint,pathet stuff,0.0
excel,product good colour problem,0.0
moder,qualiti good,0.0
classi product,delet imag,0.0
expect better product,good term qualiti gym support cricket support,0.0
meet expect,bad,0.0
absolut rubbish,fabric qualiti good,0.0
meet expect,worst qualiti,0.0
fair,hard belt,0.0
worst experi ever,bad product,0.0
job,good product comfort,0.0
horribl,product bad se achh ander wear hota hai,0.0
utterli disappoint,poor qualiti,0.0
utterli disappoint,total wast,0.0
okay,worst product stitch good stretch product thread un stitch wast money,0.0
meet expect,bad qualiti,0.0
horribl,bad,0.0
hate,loos,0.0
wast money,complet round one side,0.0
unsatisfactori,short dont like return,0.0
poor,one side hate itthi worst product,0.0
okay,nice product cloud good,0.0
expect better product,bad qualiti use wicket broke suitabl tani ball leather synthet deu ball,0.0
terribl product,bad,0.0
worthless,wicket good three bail less,0.0
nice,averag good qualiti,0.0
worth money,good product black structur satisfi,0.0
recommend,stump good take long time deliveri got stump time cricket tournament deliveri servic worst,0.0
utterli disappoint,poor product,0.0
meet expect,worst product ever seen mani reason due worst bad qualityii pictur blue came black iii late deliveryiv wicket bend easilydont buy mani good wicket rang,0.0
terribl product,bad qualiti,0.0
realli nice,good strong,0.0
unsatisfactori,poor damag,0.0
utterli disappoint,bad,0.0
terribl product,bad,0.0
horribl,worst qualiti dont buy product wast money,0.0
job,good product 2 poor anyway bad ok byu,0.0
worthless,wast,0.0
recommend,worst wicket,0.0
wast money,qualiti poor stump break one ball hit,0.0
good,stump heavi weak play tenni ball speed 80 mph broke,0.0
okay,90 min wash good remain ok,0.0
great product,defect product,0.0
worthless,frequent show error sign display problemat,0.0
okay,good product worst servic volta,0.0
recommend,clean properli,0.0
terribl product,wast money time doesnt wash utensil properli suitabl indian kitchen return,0.0
poor,receiv damag product seller refus return product return polici elig 10 day unabl creat return request bad experi dont purchas item anyon flipkart,0.0
meet expect,clean vessel nice take much time,0.0
slightli disappoint,goodal dish wash clear total wast money,0.0
horribl,wrking,0.0
unsatisfactori,satisfi answersnot anyth per scheduleno number techin person,0.0
fair,earlier use neptun vxbought neptun fx onlin versionveri basic modeldont expect much dishwasherpeopl want dishwash buy low price mention use ifb dishwash 2008 compar ifb never let even till qualiti servic availabl spare readili avail brand,0.0
recommend,work,0.0
good,leav white residuc vessel wash,0.0
fair,bought ifb dishwash parent ok job qualiti pathet hve use bosch dishwash regret buy ifb cheaper price,0.0
recommend,horribl experi instead clean utensil becom white wash despit complaint sever follow up respons volta,0.0
wast money,worst qualiti never buy voltu beko dishwash regret,0.0
wast money,worst custom ever never recommend buy anyth volta boycottvolta,0.0
terribl product,tri mode doesnt clean well expect,0.0
useless product,worst qualiti clean utensil expect,0.0
decent product,machin good take 2 hour clean henc stop use machin complaint clean issu face take time utensil also take lessif requir dont altern buy product els dont buy,0.0
slightli disappoint,demo nice also give result youtub review video,0.0
expect better product,first load dishwash dishwash doesnt clear utensil clearli leav much stain total wasteg money use first time 35 minut cycl,0.0
simpli awesom,expect good perform sure hasnt pick india opt bigger one anyway far good,0.0
worthless,bad dont buy,0.0
excel,complain product take much time program mode long,0.0
meet expect,bad,0.0
terrif purchas,write review 6 month usag bought lockdown machin excel perform well undoubtedli go thank flipkart maintain qualiti pandem deliveryth major drawback stay bangalor instal guy made big havoc instal product instal without difficulti help manual ifb instal worst worst guy threaten custom think twice b,0.0
okay,machin work good time f5 error show panel oper machineveri bad experi instil machin servic person worst perform bad attitud also ask money wrong guid machin oper ifb servic center worst bad seen ever sofar,0.0
moder,bad qualiti,0.0
good choic,issu clean,0.0
utterli disappoint,worst case scenario,0.0
hate,worst experi,0.0
good choic,receiv damag product heat properli work,0.0
horribl,unhappi wash qualiti tri multipl mode multipl wash agent regret buy gone bosch,0.0
n't wast money,instal complet,0.0
moder,moni west,0.0
horribl,product mediocr qualiti utensil clean even 3 hour clean dishwash moreov servic team pathet instruct hand wash utensil clean dont buy productrequest flipkart team remov product portal,0.0
wast money,bought dishwash midea torrino wqp125201f on16aug20 flipkart instal done 25aug20 hardli 10 day use stop work properlymost time deterg remain deterg tray utensil remain dirti even deterg use utensil clean properli,0.0
poor,salt indic turn even 1 kg salt use rins aid get use dishwash issu machin stay chennai avadi technician realli incompet advis work finish brand ask tri current use fortun brand updat review someth add,0.0
bad qualiti,almost 4 month use itaft everi wash utensil left white water dropletsmani set use get rid fruit resultsth deterg left found utensil due need manual wash,0.0
absolut rubbish,dont buy dont work properli,0.0
wast money,better purchas product good bengali cuisin dish clean properlybad experi,0.0
meet expect,bad product servic bad,0.0
expect better product,take much time,0.0
absolut rubbish,dont deserv rate useless equip,0.0
wast money,worst product clean vessel properli,0.0
worst experi ever,worst demo person came awar product inform anyth said read product book understand review product later recent purchas work 10 day sinc regular e 4 error seem defect product two engin servey problem solv yet,0.0
n't wast money,bad qualiti work properli,0.0
could way better,90 minut program complet 70 minutesclean qualiti good white patch observ even qualiti deterg use,0.0
terribl product,product receiv instal avoid purchas midea dishwash,0.0
fair,problem clean even light tea stain milk stain small utensil fine,0.0
utterli disappoint,took septemb instal done octob 2 month work machin work one singl utensil also clean west money pl dont buy,0.0
meet expect,receiv parcel 25 day agodidnt insulationno installationdont buy product,0.0
slightli disappoint,bad wash qualiti,0.0
wast money,valu less productit damag uttencil,0.0
nice,knive plate properli clean still stain food stuck,0.0
n't wast money,receiv damag product still wait replac,0.0
n't wast money,receiv defect piec return back,0.0
absolut rubbish,use capabl clean vessel plate properli,0.0
utterli disappoint,satisfactori instal tidiou jobno satisfi respons regard water pipe connect plumber job regard water tap impos custom pathet experi advis purchas,0.0
terrif purchas,wast fit box open option explan,0.0
recommend,stop work 3 month useit pathet,0.0
n't wast money,wast spend amount machin,0.0
terribl product,use less,0.0
n't wast money,power cut power resum function work machin restart begin,0.0
good,hate product instal demo done even 2week,0.0
could way better,clean steel utensil properli,0.0
terribl product,dont buy total wasteuseless engin made thischeat flipcart,0.0
decent product,clean tough stain,0.0
bad qualiti dishwash,qualiti bad within 4 month purchas dirti water start leak lower right side front open door water leak machin oper machin also becam noisi day pass sinc purchas food stain remain utensil upper tray rewash take machin,0.0
moder,bad qualiti,0.0
super,salt water problem machin need updat us purchas,0.0
n't wast money,trash product brand definit avoid got 1st machin appear damag transit 2nd one order broke 2nd day use plan return total disappoint experi brand flipkart,0.0
nice product,product deliv time ifb team instal next day explain everyth detail polit machin function smoothli clean even milk stain flawlessli without prewash side con bit noisi machin dent front dont want stress seller transport product ifb peopl assur wont function problem dent believ ifb team even face problem fut,0.0
absolut rubbish,worst machin plz dont purchas,0.0
moder,bad experi ifb dish washer machin purchas decemb 2019 display stop work march 2020 program button stop work novemb 15 2020 im realli concern mani problem within year happen warranti period request dont buy ifb dish washer,0.0
good choic,issu clean,0.0
worthless,bad wash,0.0
n't wast money,instal complet,0.0
expect better product,product good littl disappoint flipkart deliveri servic,0.0
good,experi product start demo horribl featur product experienc nobodi seriou feedback,0.0
good qualiti product,person came demo profession behaviour interest sell differ product instead show oper sold extra pipe stand mani thing extra pipe actual requir water connect point requir pipe suppli machin purchas thing person didnt demo also told read user manual oper throughout person behaviour bad mach,0.0
worthless,wast product total wastag money,0.0
utterli disappoint,languag issu forthcom bot abl explain much,0.0
slightli disappoint,initi work well 5 wash start give problem light blink happi perform allth machin get rust super fastplu take amc plan frequent malfunct seen intern board control unit,0.0
okay,servic provid flipkart good even product reach expect provid time howev badli unsatisfi demo instal provid ifb moreov fell engin inexperienc lock machin demo due call unlock itad ifb forc buy 2 pipe cost around 1400 cost salt wash powder mean pipe come machin use,0.0
wast money,take much time wash utensil use enorm water wast money,0.0
horribl,bad item headach sinc last 6 month mechan visit home twice repair machin realli bad qualiti product didnt expect garbag bosch hate buyer bewareupdatedworst possibl servic bosch stop work contact bosch custom servic sinc last 3 month one come repair mom wash dish hand sinc last 3 month,0.0
utterli disappoint,inadequ performancene scrub vessel load,0.0
worth money,senior citizen 2 member without maid servant clean vessel problem problem solv altern day use first time life see clean vessel good perform,0.0
job,high price discount averag perform,0.0
terribl product,product damag work first wash give error 15 mean leakag insid dishwash,0.0
poor,worst product use 2 month start show error e 15 mean leakag noth work take much time give replac wast money purchas worst machin worst servic,0.0
okay,good model cant hold mani cooker steel plate small person demo didnt even show use,0.0
meet expect,worst product within month start show error without valid reason clean wise job well ad anoth stress everyday wonder whether gon na work,0.0
terribl product,donot sell product instal item provid absolut rubbish,0.0
poor,refurbish product given meeveri day error come within 3 day instal,0.0
meet expect,worst instal ever boschthey instal properli order 1 month back still use singl day abl return product,0.0
much better hand wash,delay product deliveri instal delay 2 week still installedupd instal done today tri quick wash excel result find difficult get dishwash salt pod rins aid liquid stock everywher,0.0
poor,instal flipkart bosch deterg price rs 5000 pack 90 tablet plu salt rins aid also requir water hard think twice buy,0.0
worthless,got defect product seller name electron hut product look old paper work proper,0.0
highli recommend,would given 475 possibl 025 deduct tea utincil need scrub either wash even soak water hr dosent help,0.0
could way better,instal part pathet tech person even carri plumb tool got demo power mode satisfactori give rate edit rate start use,0.0
n't wast money,flipkart mess big time,0.0
fabul,buy hard water,0.0
worst experi ever faulti machin zero respons f,receiv faulti machin return even variou followup flipkart,0.0
utterli disappoint,worst experi 3day use heat element burnout three day good clean utensil white cote dont buy dishwash final retun product sooooo waaaaaast,0.0
good,milk warm utensil clean properlyveri disappointingnot abl use alumunium pressur coockerhalf work still handswast moneyand neari 500 rupe everi month deterg rins aid saltwhich unavail local marketonli buy onlin sitesit clean much even intens kadhai mode,0.0
terribl product,dont buy,0.0
classi product,hiit wash dish littl bit dissatisfi kadai cooker pan milk boiler tea vessel requir high pressur,0.0
worthless,item good instal servic bad respond wait instal,0.0
okay,suitabl indian kitchen,0.0
nice product,product custom care bad technician come guid untrain knowledg machin purchas machin nightmarish programm includ intens work clean utensil consum electr water abund mani call made custom care came gave instruct could solv problem clean utensil machin auto start programm electr fail,0.0
slightli disappoint,call immedi machin work,0.0
worst experi ever,instal demo properlythey didnt check water hard demo person took water hard check strip unaccept perform return deliveri 22nd clean leav white patch soapi water dri dishwash clean utensil properli leav white spot make even dirti readi use need wash manual worst product poor perform wast money,0.0
worst experi ever,volta beko work 7 day 7 day work recommend anyon,0.0
useless product,defect piec,0.0
fair,rather substandard dishwash made turkeyth deterg compart lid easi close easi way increas decreas rinseaid releas model,0.0
could way better,honest dishwash useless indian household thing wash mild gravi residu plate that rest worthless,0.0
moder,deterg carri happen wash moreov slight oil layer even remov effect wash,0.0
wast money,servic pretti bad dishwash start give issu motor work anymor rais ticket come visit week dont recommend buy product,0.0
bad qualiti,purchas machin flip kart got refurbish machin work volta also listen 28 thousand goe wast,0.0
good,clean properli pre clean requir put dishwash clean total unsatisfi product,0.0
horribl,clean pot properli,0.0
worthless,demonstr provid flipkart disappoint product good next time think twice purchas product flipkart,0.0
horribl,alert dont buy product worst bad productdont wast moneyb care shame tata,0.0
poor,third class wash machin tata ratan tata mint money work hardli week rins problem start third grade product tata better get kamwali bai atleast feed home take job third class dishwash,0.0
good,work wast money dont buy,0.0
worth money,use dish wash power use ball use 6month handi tool routin,0.0
decent product,bought last year decemb didnt last long motor got broken,0.0
slightli disappoint,devic intern make tak tak tak nois start deliv without proper qualiti check unexpect way product voltasextrem disappoint,0.0
excel,disappoint techniccian give fals promis everi day,0.0
slightli disappoint,instal perform irrespons improp instal charg lot water wast per cycl home good product,0.0
worthless,bad product servic flipkart,0.0
moder,soup water remain utensil clean allvolta modifi model accept volta product,0.0
hate,kindli buyth wash patheticdoesnt wash utensil properli ifb servic even patheticveri bad product experiencewast money,0.0
horribl,month pass stop work complain ifb,0.0
wast money,upto markclean qualiti satisfactoryleav stain,0.0
terribl product,wast moneyutensil cleaningal deterg remain disheswhit mark also appear,0.0
recommend,display work properli machin hang problem,0.0
fair,good build qualiti signal panel finish wash plastic qualiti insid washer also good ok,0.0
could way better,clean steel utensil properli,0.0
must buy,exactli suppos clean oili dirti utensil fit indian household,0.0
terribl product,dont buy total wasteuseless engin made thischeat flipcart,0.0
decent product,clean tough stain,0.0
bad qualiti dishwash,qualiti bad within 4 month purchas dirti water start leak lower right side front open door water leak machin oper machin also becam noisi day pass sinc purchas food stain remain utensil upper tray rewash take machin,0.0
recommend,worst machin work well,0.0
worst experi ever,within 2 month purchas water ia leak bottom dont buy,0.0
good,plastic smell observ washstain still remain afterwash satisfi product,0.0
worst experi ever,bad,0.0
horribl,unhappi wash qualiti tri multipl mode multipl wash agent regret buy gone bosch,0.0
good qualiti product,person came demo profession behaviour interest sell differ product instead show oper sold extra pipe stand mani thing extra pipe actual requir water connect point requir pipe suppli machin purchas thing person didnt demo also told read user manual oper throughout person behaviour bad mach,0.0
worthless,wast product total wastag money,0.0
utterli disappoint,languag issu forthcom bot abl explain much,0.0
okay,work expect indian dish,0.0
slightli disappoint,auto restart power cut cycl continu power cut end cycl,0.0
classi product,flipkart deliveri good fast lg servic extrem poor,0.0
bad qualiti,good product power issu bad due use turbo mode wash 1hour otherwis avoid buy dishwash would give 5 star issu resolv,0.0
utterli disappoint,old model timer displayinstal servic bosch bad instal guy would come excus charg money instal product readi shell arround 500 installationfurth even pay bosch personnel instal pipe connect tap start leak two daysin relat qualiti product pleas expect high qualiti clean milk tea utensil come dirti everytim,0.0
expect better product,damag product,0.0
hate,hate,0.0
job,space suffici larger plate vessel,0.0
fair,indian kadai clean job cant done recomend,0.0
useless product,wast time spend time money clean,0.0
horribl,doesnt clean properli,0.0
realli nice,benifit experienced1sav water2with long time cycl like auto clean better hand clean add new shine old steel pot disheslimitations1 take long time 3 hour good clean auto mode2 turbo mode short time durat 1 hour doesnt clean properly3 power cut machin dont resum stopped4 cost devic more5 deterg rins aid salt easili avail local marketand costli,0.0
decent product,wait littl price come bosch model till date know steam use hate white led digit display realli adjust eye figur actual number display non fanci simpl display,0.0
meet expect,wast water wast electr resum ofter power cut misson start take 3 hr time 3 time power cut mission time come 3 hr everi power cut time soo dont wast money,0.0
meet expect,week find huge leakag water base machin rais queri mani time respons wast money good im feel dissatisfi buy mom co clean vessel daili alot need help,0.0
decent product,damag itemwat leak side dont buy product,0.0
pretti good,great perform price jack brand past coupl year uneth,0.0
worth everi penni,machin deliverd friday flipkart promisedhappi deliveri here flipkart lost plot till wednesday could arrang demo instal despit repeat remind could come request time final decid call siemen surpris know receiv commun flipkart siemen sent technician within 4 hour call machin usin,0.0
unsatisfactori,poor qualiti wire two pin socket plug unservic day one,0.0
worthless,product bad iam use 55 chest tv 20 day plug wire burn,0.0
nice,good return polici worth pricedec product,0.0
slightli disappoint,good,0.0
utterli disappoint,worst stabil,0.0
hate,price qualiti poor,0.0
fair,cabl qualiti low 2 pin type averag,0.0
absolut rubbish,bad product,0.0
worst experi ever,bad superb,0.0
horribl,worst qualiti product,0.0
job,good qualiti remot,0.0
could way better,good,0.0
moder,bed qualiti,0.0
poor,bad product sleek thin design easi use button littl harder press overal fine control ur tv setup box edit use month qualiti remot pathet remot sensit hold slightli tight break bad product ever bought pleas dont buy product cost,0.0
poor,bad product work,0.0
horribl,wrking properli bcuz one nt genuin tata sky remot,0.0
could way better,good,0.0
utterli disappoint,worst remot button work,0.0
useless product,poor qualiti,0.0
nice,sometim didnt work,0.0
fair,perform okaft use day provid rate origin one tv power button work,0.0
slightli disappoint,upton mark okay qualiti wise worst,0.0
worthless,2 day work,0.0
worst experi ever,bad qualiti,0.0
expect better product,far good voltag fluctuat situat home light flicker dim tv didnt face issu bcz awesom product cut power tv immedi anoth thing think tv might get damag use bluechip updat june 3rd stop work sudden tri contact warranti got respons,0.0
bad qualiti,work perfectli,0.0
hate,two day work,0.0
worst experi ever,bad work,0.0
recommend,bad productthi product suppli proper voltag,0.0
meet expect,badnot work 3 day,0.0
wast money,long life product wast money,0.0
absolut rubbish,low power suppli,0.0
okay,stabil good wire qualiti bad chang wire time wire cheap qualiti,0.0
decent product,output socket good wire also,0.0
worst experi ever,work,0.0
good,work fine fuse protectionand also work 168 280,0.0
highli recommend,heavi handlei use 43 inch smart led tv per notif everyth use weekth delay 5 second heavi metal bodyit serv purpos technic review within month,0.0
worthless,worst protect satisfi protect,0.0
wast money,worst product call center dont wast money,0.0
utterli disappoint,2month purchas stop work dont buy,0.0
worthless,poor qualiti wast money work within 2 month,0.0
terribl product,dont buy cheap productaft 8 month product malfunctionedi cant get proper address phone claim warrantystupid fellow,0.0
wonder,work fine nowbut inlet plugin arent fix properlythey loos move,0.0
terribl product,day one problem plug socket fix qualiti checkjust road side product dont buyno name plate specif manufactur address detail total 420 compani product dont wast money,0.0
worst experi ever,stop work within week servic centr repair product,0.0
absolut rubbish,work,0.0
moder,upto mark extern chord extern plug point least qualiti god know qualiti materi use insid boxbett avoid product go brand one,0.0
slightli disappoint,soft thin materi could littl hard,0.0
horribl,color good,0.0
wonder,stuff good costlier deliv charg,0.0
recommend,bad product,0.0
bad qualiti,damag product,0.0
recommend,bad dont believ flipkart,0.0
good,good problem,0.0
unsatisfactori,qualiti,0.0
utterli disappoint,small screw give,0.0
terribl product,small size,0.0
hate,small,0.0
poor,damag product,0.0
horribl,poor qualityim satisfi productmateri qualiti improv,0.0
wast money,poor qualiti,0.0
useless product,small fit reciv wast money,0.0
good,size small,0.0
good,worth,0.0
good,worth,0.0
excel,item poor,0.0
bad qualiti,use 3month work properli,0.0
absolut rubbish,bad,0.0
n't wast money,life 15 day fulli wast money pleas dont buy product teach lesson cheater manufactur,0.0
recommend,bad,0.0
good,poor qualiti,0.0
absolut rubbish,airtel remot work di tv,0.0
utterli disappoint,bad qualiti,0.0
terribl product,pair possibl,0.0
n't wast money,workingwast product,0.0
hate,work,0.0
job,poor qualiti remot lightweight board insid remot shake drop remot wont work dont recommend product,0.0
value-for-money,qualiti good happi use,0.0
okay,mute button work,0.0
could way better,good,0.0
worst experi ever,qualiti good like bad product,0.0
meet expect,bed,0.0
good,cheap qualiti,0.0
decent product,infralight power spite new batteri,0.0
unsatisfactori,poor qualiti wire two pin socket plug unservic day one,0.0
utterli disappoint,bed qualiti,0.0
could way better,size small need equip fix wall woofer fall,0.0
absolut rubbish,bad product,0.0
terribl product,cheap qualiti lrealli bad disappoint,0.0
horribl,bad qualiti,0.0
utterli disappoint,good qualiti,0.0
meet expect,poor qualiti,0.0
utterli disappoint,worst product,0.0
value-for-money,nice quliti sum part damag,0.0
useless product,hate,0.0
worthless,worst qualiti dont buy product wast money,0.0
n't wast money,worst worst product less qualiti didnt send batteri dont buy,0.0
n't wast money,didint get product,0.0
worth money,product verri good cell miss remot rate 4,0.0
could way better,good,0.0
recommend,fault observ,0.0
slightli disappoint,damag product,0.0
good,poor qualiti,0.0
meet expect,origin dth remot,0.0
could way better,use 21 day upper part remot workingi cant switch airtel dish cant mute,0.0
terribl product,bad,0.0
absolut rubbish,wors productth remot us look fine outsid stop work 15 day purchas,0.0
terribl product,good,0.0
slightli disappoint,work,0.0
hate,work,0.0
absolut rubbish,qualiti poor work properli,0.0
poor,instal code wast productdont purchas item,0.0
absolut rubbish,low qualiti,0.0
meet expect,price high,0.0
bad qualiti,one month stop work,0.0
slightli disappoint,good qualiti,0.0
job,ok plastic qualiti good,0.0
good,key function second remot purchas 10 day bad qualiti product buy better call airtel custom care order remot,0.0
utterli disappoint,burn cell satisfi,0.0
hate,work,0.0
horribl,remot work properli,0.0
unsatisfactori,poor qualiti wire two pin socket plug unservic day one,0.0
worthless,product bad iam use 55 chest tv 20 day plug wire burn,0.0
nice,good return polici worth pricedec product,0.0
fair,wire provid connect main thin get heat,0.0
utterli disappoint,worst stabil,0.0
utterli disappoint,bed qualiti,0.0
could way better,size small need equip fix wall woofer fall,0.0
good,bed,0.0
expect better product,vari bad,0.0
expect better product,low qualiti,0.0
absolut rubbish,wast product qualiti cost high,0.0
utterli disappoint,per price qualiti poor take wait stabil mention bend,0.0
terribl product,wast money,0.0
meet expect,wark 5 day,0.0
unsatisfactori,bad product 1 month use complaint,0.0
fair,cabl qualiti low 2 pin type averag,0.0
absolut rubbish,bad product,0.0
slightli disappoint,wast fellow,0.0
could way better,bad,0.0
useless product,remot stop work 10 day use,0.0
moder,damag product,0.0
utterli disappoint,work properlyveri bad,0.0
useless product,key work,0.0
n't wast money,bad remot best money,0.0
wast money,waek,0.0
good,good,0.0
terribl product,west money bad product,0.0
horribl,work properli pleas replac,0.0
absolut rubbish,dont buy extrem poor product stop work 5 day,0.0
terribl product,good,0.0
decent product,product good lightweight origin,0.0
horribl,worst,0.0
recommend,worst qualiti froad dont book product,0.0
useless product,button work,0.0
nice product,comment,0.0
delight,use product sinc 6 month till repair damag myth flipkart smart product cheap qualiti never last long product chang percept prove wrong use purchas thing flipkart smartbuy purchas iron box work properlyi prepar egg rice chicken boil water prepar ragi java cooker till didnt face issu product come reason price,0.0
fair,use time rice sticki could done right correct amount water couldnt figur correct ratio take time heat 5 7 minut water start boil cheap help hard situat,0.0
utterli disappoint,use 2 peic 4month fail due reasonne improv,0.0
good,wast product dont buyit spoil food bottom vessel water rice ratio full differ realli bad wast money look good use,0.0
hate,bad qualiti,0.0
useless product,item bad qualiti cooker,0.0
horribl,poor qualiti,0.0
slightli disappoint,product low qualiti strong bodi prestig bajaj comparison,0.0
good,good,0.0
poor,bad product product stop work switch hold soon one press,0.0
worst experi ever,worst product,0.0
worst experi ever,never buy product end mess repair replac product give excus bit,0.0
meet expect,wast money time,0.0
wast money,bad,0.0
useless product,wast qualiti,0.0
worst experi ever,dont buy china item product got damag 2 month,0.0
delight,product good anyon plan get product doubt go pratanu,0.0
n't wast money,product pack damag,0.0
good choic,best product price base jali,0.0
terribl product,worst item ever brought flipkart disappoint flipkart,0.0
worst experi ever,worst,0.0
utterli disappoint,pathet product,0.0
slightli disappoint,loos connect wire,0.0
meet expect,bad cvaliti,0.0
meet expect,bad,0.0
terribl product,bad,0.0
unsatisfactori,wast rice cooker worst comani,0.0
meet expect,bad,0.0
worthless,plug light come minut light go stop due loos connect head rice cooker wast time money,0.0
utterli disappoint,stop work within month,0.0
recommend,much good worest experi flipkart product dont bye return polici,0.0
utterli disappoint,wast product,0.0
horribl,qualiti bad,0.0
moder,pin worst,0.0
meet expect,worst product,0.0
absolut rubbish,bad,0.0
slightli disappoint,warst product cheep qualityr bogu product puchag dabba quliti,0.0
nice,weak bodypot good qualitychord socket loos condit rice get muster reddish brown side boil,0.0
meet expect,take 1 hour time cook rice work properli,0.0
recommend,worst product,0.0
good,decent buy good badit take almost half hour make 2 cup rice,0.0
moder,good,0.0
nice,r eat soft rice rice make hard,0.0
delight,work like pro disadvantag one bowl may give two bowl increas price,0.0
fair,slow cook two cup rice 30 minut cook,0.0
n't wast money,qualiti poor,0.0
wast money,weast product,0.0
moder,sticki prepar rice,0.0
bad qualiti,worest product,0.0
wast money,order good deliveri bad damag item,0.0
horribl,im satisfi product qualiti,0.0
expect better product,dont buy good cook rice ok bachelor want cook curri one go bajaj coocker problem wont stick cook mode unless put enough quantiti,0.0
horribl,base mean stand bad qualiti see inner wire,0.0
useless product,worst 2day cabl damag,0.0
okay,worst product wast money,0.0
poor,bad,0.0
